,Name,College,Quality Score,Difficulty Score,GPA,Would Take Again,Number of Ratings,Number of Sections,Total Students
26,Anne Hubbard,College of Agriculture and Life Sciences,4.5,1.0,3.5954012623985574,100.0,4,22,1109
27,Bianca Glaze,College of Agriculture and Life Sciences,4.7,1.8,3.8310658682634737,100.0,10,13,835
28,Kimber Lunsford,,5.0,1.0,3.6871821305841928,100.0,1,6,291
29,Vicki Martin,,2.5,4.0,3.0954545454545457,-1.0,1,11,418
30,Chris Ashwell,College of Agriculture and Life Sciences,4.3,2.1,3.763135725429018,83.3333,7,25,641
31,Marcy Bullock,College of Agriculture and Life Sciences,4.7,1.6,3.533484145398299,85.7143,11,82,2586
32,Michael Goshe,College of Agriculture and Life Sciences,2.3,4.5,2.5368539325842696,32.0,25,13,1068
33,John Havlin,College of Sciences,2.9,3.3,3.1125180136319375,50.0,29,117,5135
34,Deborah Threadgill,College of Agriculture and Life Sciences,3.5,1.0,2.8712765957446806,-1.0,1,4,47
35,William Kimler,College of Humanities and Social Sciences,3.1,3.8,2.7974402985074627,30.0,18,56,1340
36,Alexandra Graves,College of Agriculture and Life Sciences,5.0,1.5,3.7663399999999996,100.0,2,22,500
37,Rhonda Sutton,College of Education,4.2,3.3,3.0,-1.0,3,1,10
38,Jeannette Moore,College of Agriculture and Life Sciences,4.6,2.4,3.063488582410128,90.9091,27,88,4423
39,Kenneth Esbenshade,College of Agriculture and Life Sciences,4.8,3.0,2.1544124168514416,100.0,2,5,451
40,Carrie Pickworth,College of Agriculture and Life Sciences,3.9,3.4,2.8893561643835617,100.0,5,22,730
41,Dave Miller,College of Humanities and Social Sciences,5.0,1.5,3.2410796915167093,100.0,2,15,389
42,William Flowers,College of Agriculture and Life Sciences,4.7,3.8,3.072792122538293,91.5493,111,138,6855
43,Shannon Phillips,College of Agriculture and Life Sciences,4.1,2.9,3.110300896286811,69.2308,16,69,3124
44,Paul Siciliano ,College of Agriculture and Life Sciences,5.0,3.0,3.107296137339056,100.0,1,65,1631
45,Vivek Fellner,College of Agriculture and Life Sciences,4.4,2.8,3.277603448275863,96.5517,32,41,2900
46,Charlotte Meli,College of Agriculture and Life Sciences,5.0,2.3,3.383302631578948,100.0,3,57,1520
47,Latisha Judd,College of Agriculture and Life Sciences,2.7,3.7,3.37375104427736,46.6667,15,42,1197
48,Shweta Trivedi,College of Agriculture and Life Sciences,3.9,3.8,3.0686131489842006,71.875,49,144,7088
49,Melissa Merrill,College of Agriculture and Life Sciences,3.9,3.4,2.7256154910096835,77.7778,14,41,2169
50,Daniel Poole,College of Agriculture and Life Sciences,3.8,4.0,2.631095579901775,70.5882,22,57,2647
51,Sung Kim,College of Agriculture and Life Sciences,3.1,3.3,2.977132256656482,33.3333,11,52,2291
52,Joan Eisemann,College of Agriculture and Life Sciences,3.2,3.0,2.8730861244019144,66.6667,9,38,1672
53,Shannon Davis,Poole College of Management,1.9,4.3,3.611408934707904,-1.0,20,8,291
54,Alaina Cross,College of Agriculture and Life Sciences,5.0,2.7,3.82703125,100.0,3,7,128
55,Brent Jennings,College of Agriculture and Life Sciences,5.0,2.0,3.7626976744186047,100.0,2,12,215
56,Jonathan Allen,College of Sciences,2.5,3.2,3.22838466803559,30.0,15,90,2922
57,Robert Petters,College of Humanities and Social Sciences,4.2,1.3,2.9476293103448277,100.0,7,9,232
58,Gerald Huntington,College of Agriculture and Life Sciences,2.8,4.0,3.0816909620991253,-1.0,2,16,343
59,Ramon Malheiros,College of Agriculture and Life Sciences,4.0,1.0,3.674186691312385,83.3333,6,28,1082
60,Kimberly Livingston,College of Agriculture and Life Sciences,3.2,3.2,3.282632978723404,60.0,5,39,1504
61,Adam Fahrenholz,College of Agriculture and Life Sciences,1.0,1.0,3.0111829944547135,0.0,1,28,541
62,Joseph Cassady,College of Agriculture and Life Sciences,3.3,3.5,2.8646470588235293,-1.0,2,6,170
63,Robert Branan,College of Agriculture and Life Sciences,2.7,2.7,3.583943596856218,33.3333,3,34,2163
64,Cynthia Gigandet,College of Agriculture and Life Sciences,3.3,2.7,3.1629737609329447,66.6667,3,6,343
65,Frederick Parker,College of Agriculture and Life Sciences,2.6,2.9,2.7752540569300352,40.9091,27,105,3759
66,Julianne Treme,College of Humanities and Social Sciences,4.2,3.3,2.451904378189633,77.5862,71,80,3723
67,Lumana Shakya,College of Humanities and Social Sciences,1.0,4.5,3.08,0.0,2,1,25
68,Austin Hooe,College of Humanities and Social Sciences,4.7,2.5,2.9827431059506533,95.6522,23,10,689
69,Mingyan Liu,College of Humanities and Social Sciences,3.3,3.8,3.13295918367347,25.0,4,3,196
70,Kyoungin Choe,College of Agriculture and Life Sciences,3.9,2.2,2.935137931034483,78.5714,14,12,870
71,Shiyue Yao,College of Agriculture and Life Sciences,2.9,2.8,2.9341458333333335,50.0,12,7,480
72,Scott Paiement,College of Humanities and Social Sciences,4.4,2.0,3.3312804878048783,100.0,18,11,656
73,Lulu Pi,College of Humanities and Social Sciences,3.5,1.5,3.1280451127819546,50.0,2,3,133
74,Ivan Kandilov,College of Humanities and Social Sciences,4.0,3.5,3.0620459081836326,95.0,31,20,1002
75,Ruixue Wang,College of Humanities and Social Sciences,1.7,2.9,3.105631970260223,9.0909,11,11,538
76,Gregory Dowd,College of Humanities and Social Sciences,4.4,2.6,3.3055616438356163,87.5,8,7,365
77,Daniyar Zhumadilov,College of Humanities and Social Sciences,4.3,1.8,3.283013333333333,83.3333,6,7,375
78,Sarah Sutherland,College of Humanities and Social Sciences,3.0,4.0,3.042745098039216,50.0,2,9,408
79,Huiwen Hu,College of Humanities and Social Sciences,3.5,1.5,3.064393063583815,50.0,2,5,173
80,Siyan Liu,College of Humanities and Social Sciences,2.5,2.0,3.2182926829268297,0.0,2,2,82
81,Timothy Choi,College of Humanities and Social Sciences,4.3,2.9,3.0920555555555556,85.7143,7,12,540
82,Caiqin Wang,College of Humanities and Social Sciences,3.0,2.0,3.550285714285714,100.0,2,3,105
83,Dylan Bouchard,College of Humanities and Social Sciences,4.2,2.7,3.0270291479820624,75.0,16,15,892
84,Jin Qin,College of Humanities and Social Sciences,5.0,2.3,3.6633875338753388,100.0,4,7,369
85,Ali Zeytoon-Nejad,College of Humanities and Social Sciences,5.0,2.1,3.0221643835616434,100.0,7,6,365
86,Fabio Santeramo,College of Humanities and Social Sciences,4.2,2.7,2.1140000000000003,-1.0,3,2,70
87,Scott Callahan,College of Humanities and Social Sciences,5.0,3.0,2.6366317626527045,100.0,1,13,573
88,Huachen Li,College of Humanities and Social Sciences,4.0,3.0,2.983934108527132,100.0,4,14,516
89,Sui Wu,Poole College of Management,5.0,2.0,3.175538461538462,100.0,1,3,130
90,Lee Parton,College of Humanities and Social Sciences,3.7,3.7,2.821016483516484,66.6667,6,10,364
91,Micheal Walden,College of Humanities and Social Sciences,2.8,3.1,2.5537909654561557,-1.0,22,14,1129
92,Irina Pritchett,College of Humanities and Social Sciences,3.8,2.9,2.795502793296089,-1.0,8,10,358
93,Jonathan Eyer,College of Humanities and Social Sciences,4.0,3.0,2.690523076923077,-1.0,6,8,325
94,Michael Frank,College of Sciences,4.0,3.0,2.8532773109243696,-1.0,1,6,238
95,Michael Robert,College of Sciences,4.5,3.0,2.692222222222222,-1.0,1,8,414
96,Xiaoyong Zheng,College of Agriculture and Life Sciences,3.7,2.7,2.691408934707904,100.0,3,5,291
97,Aycan Koksal,College of Humanities and Social Sciences,4.0,2.0,2.8990854870775347,-1.0,2,12,503
98,Boris Zhukov,College of Humanities and Social Sciences,3.5,4.5,2.5160365853658537,-1.0,2,4,164
99,Sergey Kondyan,College of Agriculture and Life Sciences,1.0,1.0,2.3686120996441278,-1.0,2,6,281
100,Gregory  Thompson,College of Agriculture and Life Sciences,5.0,3.0,3.5812582781456954,100.0,1,5,151
101,Meghan Teten,College of Education,2.0,2.6,3.7324112426035505,12.5,16,21,676
102,Scott Cohen,Poole College of Management,3.2,3.7,2.943284518828451,55.5556,18,38,3346
103,Lewis Sheats,Poole College of Management,5.0,1.0,3.6132756563245825,100.0,3,74,1676
104,Robin Clements,College of Agriculture and Life Sciences,4.0,2.0,3.3739148936170213,50.0,4,19,705
105,Walter Thurman,College of Agriculture and Life Sciences,5.0,3.0,2.715022026431718,-1.0,1,13,454
106,Kathryn Boys,College of Agriculture and Life Sciences,1.0,4.0,2.592957746478873,0.0,1,10,426
107,Andrew Hutchens,College of Humanities and Social Sciences,5.0,1.5,3.0108906882591095,100.0,2,5,247
108,Erica Edwards,College of Humanities and Social Sciences,2.9,3.6,3.2216600265604254,47.0588,17,26,753
109,Kelsey Hample,College of Humanities and Social Sciences,2.0,4.5,2.414468503937008,33.3333,8,14,508
110,Evan Rogers,College of Humanities and Social Sciences,4.7,1.7,3.129934497816594,-1.0,3,12,458
111,Steven Sexton,College of Humanities and Social Sciences,3.5,4.5,2.6424999999999996,100.0,2,2,112
112,Chris Littel,Poole College of Management,4.6,2.0,3.5543564356435646,100.0,5,32,1111
113,Barry Goodwin,College of Agriculture and Life Sciences,4.3,3.0,2.935694076038904,100.0,2,13,1131
114,Praveen Kolar,College of Engineering,5.0,3.0,3.679078651685393,100.0,1,42,890
115,William Sagues,College of Engineering,5.0,2.0,3.717142857142857,100.0,1,6,70
116,William Hunt,College of Engineering,4.5,1.8,3.806746143057504,100.0,4,14,713
117,Steven Hall,College of Engineering,4.5,1.5,3.668235294117647,100.0,2,4,238
118,David Presutti,College of Agriculture and Life Sciences,5.0,2.3,3.557310126582279,100.0,4,54,948
119,Cynthia Hemenway,College of Agriculture and Life Sciences,5.0,4.0,3.055987261146497,100.0,2,22,628
120,Charles Hardin,College of Agriculture and Life Sciences,3.5,3.5,3.2116055456171733,76.9231,24,53,4472
121,Hung-Chieh Kuo,College of Agriculture and Life Sciences,4.9,2.2,3.2924041994750657,100.0,13,25,1905
122,Paul Wollenzien,College of Agriculture and Life Sciences,2.0,4.3,2.9658793103448278,25.0,4,6,580
123,Earl Maxwell,College of Agriculture and Life Sciences,4.0,3.9,2.6259704968944098,66.6667,8,23,1288
124,Joe Barycki,College of Agriculture and Life Sciences,1.2,5.0,2.8503885135135136,0.0,5,8,592
125,Ning Sui,College of Agriculture and Life Sciences,3.8,4.6,2.8010880829015545,80.0,5,2,193
126,James Knopp,College of Agriculture and Life Sciences,3.7,4.0,2.9462504938759393,-1.0,11,35,2531
127,Dennis Brown,College of Agriculture and Life Sciences,4.7,3.0,3.530763888888889,100.0,3,28,576
128,Colleen Doherty,College of Agriculture and Life Sciences,3.4,3.2,2.96216814159292,60.0,5,8,226
129,Sophie Noel,College of Agriculture and Life Sciences,5.0,2.0,3.418837209302325,100.0,1,3,43
130,Jacob Dums,College of Sciences,5.0,2.0,3.4173714285714283,100.0,1,11,175
131,Stefanie Chen,College of Sciences,5.0,3.5,3.439051724137931,100.0,2,14,232
132,Eric Miller,College of Agriculture and Life Sciences,3.0,2.0,3.809396551724138,0.0,1,10,116
133,Carlos Goller,College of Sciences,4.1,2.6,3.385508474576272,66.6667,7,15,236
134,Philip Brown,College of Agriculture and Life Sciences,5.0,2.0,2.076857944799625,100.0,2,51,6413
135,Eric Lazear,College of Sciences,5.0,3.0,3.1615999999999995,100.0,1,3,50
136,Robert Kelly,College of Engineering,2.3,4.3,3.0853658536585367,25.0,4,28,615
137,Antonio Planchart,College of Sciences,4.5,4.0,2.729889705882353,100.0,2,15,544
138,Janet Spears,College of Education,4.5,1.0,2.8992822966507172,-1.0,2,43,1463
139,Lori Snyder,College of Agriculture and Life Sciences,3.0,3.0,3.558261851015801,100.0,1,20,443
140,Richard Cooper,College of Agriculture and Life Sciences,1.0,5.0,2.3486415525114155,0.0,1,43,876
141,David Jordan,College of Agriculture and Life Sciences,2.7,3.3,3.203425309229305,66.6667,3,31,1051
142,Keith Edmisten,College of Agriculture and Life Sciences,2.7,2.1,3.4330532674354757,50.0,9,64,1821
143,Charles Peacock,College of Agriculture and Life Sciences,4.0,3.0,3.1895,100.0,1,12,200
144,Michelle Schroeder-Moreno,College of Agriculture and Life Sciences,3.8,1.8,3.6924380804953563,100.0,4,45,1292
145,Mike Mullen,College of Agriculture and Life Sciences,4.7,2.7,3.2476555023923446,100.0,3,9,209
146,Alexander Stewart,College of Sciences,1.2,4.6,2.9082474226804127,0.0,5,7,388
147,William Smith,College of Humanities and Social Sciences,2.7,3.0,3.068771929824561,100.0,13,34,1026
148,David Crouse,College of Sciences,4.7,3.2,2.9223568507157465,90.0,40,190,9780
149,John Meyer,College of Agriculture and Life Sciences,4.3,4.5,2.606986128625473,-1.0,2,22,793
150,David Orr,College of Agriculture and Life Sciences,2.6,3.7,3.0069993117687543,36.3636,11,38,1453
151,Clyde Sorenson,College of Sciences,4.6,2.7,2.89504352790067,87.037,85,81,7007
152,Laura Kraft,College of Agriculture and Life Sciences,5.0,3.0,3.091472868217054,100.0,4,3,258
153,Johanna Elsensohn,College of Agriculture and Life Sciences,5.0,3.0,2.9,100.0,1,1,20
154,David Tarpy,College of Agriculture and Life Sciences,4.7,2.6,3.0692972742759794,87.5,20,18,2348
155,Michael Reiskind,College of Agriculture and Life Sciences,4.0,2.8,3.278744588744589,80.0,15,30,1617
156,James Harr,College of Humanities and Social Sciences,3.5,2.7,3.1814002478314745,66.6667,6,31,807
157,Paige Luck,College of Sciences,4.6,1.4,3.671712504583791,82.3529,17,42,2727
158,Gabriel Harris,College of Agriculture and Life Sciences,4.7,1.8,3.479578994017283,100.0,19,66,4513
159,K.P. Sandeep,College of Engineering,2.6,4.8,2.602359154929577,0.0,4,9,284
160,Brian Farkas,College of Engineering,4.7,2.3,3.297801047120419,-1.0,3,7,191
161,Sarah Ash,College of Agriculture and Life Sciences,4.4,2.8,3.051428361929901,37.5,37,80,6819
162,April Fogleman,College of Sciences,4.2,2.0,3.577221580597261,85.0,20,125,6061
163,Fletcher Arrit,College of Sciences,5.0,1.0,2.8528215767634855,-1.0,1,12,241
164,Sophia Kathariou,College of Sciences,2.2,4.2,2.761945525291829,40.0,5,9,257
165,Lee-Ann Jaykus,College of Sciences,4.0,4.0,2.906296296296296,100.0,1,11,243
166,Roland Kays,College of Natural Resources,3.4,2.8,3.50751,80.0,17,10,1000
167,Lara Pacifici,College of Natural Resources,5.0,1.3,3.597884093711467,100.0,29,59,4055
168,Tess Moody,College of Natural Resources,4.0,1.7,3.56,66.6667,6,1,280
169,Larry Nielson,College of Natural Resources,5.0,1.4,3.3164515142245334,100.0,22,20,3269
170,Nils Peterson,College of Natural Resources,3.0,3.3,3.1412378094523628,80.0,6,28,1333
171,George  Hess,College of Natural Resources,4.8,2.8,3.457286324786325,100.0,4,32,936
172,Christopher Moorman,College of Natural Resources,4.7,3.2,2.950014825796887,100.0,6,34,1349
173,Whitney Jones,College of Agriculture and Life Sciences,3.9,3.5,2.8819921633326446,81.8182,38,80,4849
174,Ted Emigh,College of Sciences,3.6,3.5,2.449125695732838,-1.0,11,33,4312
175,Stephanie Curtis,College of Agriculture and Life Sciences,1.5,1.0,3.21835734870317,-1.0,1,10,347
176,Jeffrey Thorne,College of Sciences,4.0,3.0,3.44,50.0,2,1,39
177,Claire Gordy,College of Agriculture and Life Sciences,4.5,2.9,3.614219769192173,94.1176,17,76,1993
178,Joy Little,College of Agriculture and Life Sciences,2.8,1.9,3.6011833455076703,50.0,8,51,1369
179,Steven Spiker,College of Agriculture and Life Sciences,2.1,4.7,2.5171492204899777,-1.0,6,18,449
180,Patricia Estes,College of Agriculture and Life Sciences,3.8,3.2,3.402379958246346,66.6667,6,30,479
181,Caiti Heil,College of Agriculture and Life Sciences,5.0,3.0,3.5751694915254237,100.0,2,4,118
182,Aldo Baez,College of Sciences,5.0,3.0,3.8928155339805817,100.0,1,4,103
183,Yihui Zhou,College of Agriculture and Life Sciences,5.0,3.3,3.0443076923076924,100.0,6,4,65
184,James Mahaffey,College of Agriculture and Life Sciences,1.0,4.0,2.680844155844156,0.0,1,8,154
185,Bryce Lane,College of Agriculture and Life Sciences,4.8,2.5,2.955757651157004,92.8571,53,63,4019
186,Brian Jackson,College of Agriculture and Life Sciences,5.0,1.9,3.13550224370038,100.0,27,57,2897
187,Elisabeth Meyer,College of Agriculture and Life Sciences,3.6,2.8,2.7564526659412403,60.0,5,55,1838
188,Melinda  Knuth,College of Agriculture and Life Sciences,2.0,3.0,3.2081900452488683,0.0,1,7,221
189,Remi Ham,College of Agriculture and Life Sciences,4.9,1.7,3.530651731160896,100.0,7,13,491
190,Anne Spafford,College of Agriculture and Life Sciences,4.8,2.0,3.5591551347414407,75.0,4,66,1373
191,John Doyle,College of Humanities and Social Sciences,5.0,2.0,3.5922033898305084,-1.0,1,4,59
192,Penelope Perkins-Veazie,College of Agriculture and Life Sciences,3.0,3.0,3.095789473684211,100.0,1,6,95
193,James Brown,College of Sciences,5.0,1.7,3.0475805008944534,-1.0,3,128,2236
194,Alice Lee,College of Agriculture and Life Sciences,4.3,3.1,3.351135061051582,92.8571,22,239,8026
195,Mark Keen,College of Sciences,1.8,3.9,2.687001832940559,50.0,14,79,3819
196,Michael  Taveirne,College of Sciences,3.8,3.7,3.4760843720038355,66.6667,6,166,5215
197,Stephanie Mathews,College of Sciences,2.9,3.9,3.008022598870057,52.9412,17,4,354
198,Ryan Ohr,College of Agriculture and Life Sciences,4.4,3.3,3.5382104274307182,87.5,16,35,2129
199,Melissa Ramirez,College of Agriculture and Life Sciences,2.5,3.4,3.2724584717607965,40.0,15,52,2709
200,Michael Hyman,College of Sciences,2.8,4.4,2.275230280571731,-1.0,8,24,1889
201,Tim Petty,College of Agriculture and Life Sciences,2.9,3.6,2.825371263259402,-1.0,5,31,1037
202,Michael Sikes,College of Agriculture and Life Sciences,4.6,3.6,3.330115089514066,90.9091,11,43,2346
203,Frank Scholle,College of Agriculture and Life Sciences,5.0,4.0,3.2690810810810804,-1.0,1,9,185
204,Natalie Cooke,College of Sciences,4.0,3.5,3.309591489361701,78.9474,38,70,4700
205,Suzie Goodell,College of Sciences,2.6,4.0,3.1670091743119255,44.4444,11,61,2180
206,Lindsay Tanskey,College of Sciences,5.0,2.0,3.7379734219269105,100.0,1,7,301
207,Nicola Singletary,College of Sciences,5.0,3.0,3.4911698113207557,100.0,5,36,1325
208,Chad Jordan,College of Sciences,4.7,3.0,3.037007794820216,84.2105,28,68,3977
209,James Mickle,College of Sciences,3.6,3.1,2.705355376204114,75.8621,71,117,7682
210,Jillian De Gezelle,College of Sciences,3.9,1.6,3.558684433164129,78.9474,24,61,2364
211,John Riddle,College of Humanities and Social Sciences,4.4,3.6,2.444739039665971,-1.0,15,21,479
212,Robert Beckmann,College of Sciences,4.3,2.3,3.2429217840982543,-1.0,19,31,1547
213,De-Yu Xie,College of Sciences,2.8,4.0,3.13367666232073,25.0,4,15,767
214,Alexander Krings,College of Sciences,4.3,4.0,3.1432702702702704,100.0,4,24,370
215,Richard Blanton,College of Sciences,4.6,2.4,3.1028633405639914,92.3077,16,21,922
216,Thomas Wentworth,College of Engineering,2.5,5.0,3.216331360946746,-1.0,3,11,1521
217,William Fields,College of Sciences,1.3,3.5,2.852956521739131,-1.0,2,2,230
218,Terri Long,College of Sciences,4.3,3.5,2.814339622641509,100.0,4,13,477
219,Kenneth Anderson,College of Agriculture and Life Sciences,3.0,1.5,3.44096,50.0,2,14,250
220,John Brake,College of Agriculture and Life Sciences,2.5,4.0,3.258201438848921,-1.0,1,15,278
221,Peter Ferket,College of Agriculture and Life Sciences,5.0,2.0,3.6602702702702703,100.0,1,3,222
222,Charles Opperman,College of Agriculture and Life Sciences,4.8,1.6,3.8951884700665187,100.0,5,10,451
223,Matt Ricker,College of Agriculture and Life Sciences,5.0,1.0,3.2055102040816323,100.0,1,4,49
224,Jeff White,College of Agriculture and Life Sciences,1.0,5.0,2.653762376237624,-1.0,2,8,101
225,Owen Duckworth,College of Agriculture and Life Sciences,5.0,2.0,3.2238461538461545,100.0,1,13,273
226,Michael Vepraskas,College of Agriculture and Life Sciences,4.4,1.6,3.4208125577100645,88.8889,9,22,1083
227,Joshua Heitman,College of Agriculture and Life Sciences,4.0,2.0,2.9457178217821784,100.0,1,18,404
228,Yoshiaki  Tsuji,College of Sciences,5.0,2.3,3.36939774153074,100.0,3,8,797
229,Elizabeth  Thompson,College of Sciences,3.3,3.0,3.4651068746389373,60.0,9,33,1731
230,Scott McCulloch,College of Sciences,4.2,2.7,3.427530612244898,-1.0,3,16,490
231,Marta Klesath,College of Sciences,3.5,3.4,2.925508041991717,68.4932,87,100,10383
232,Jennifer Campbell,College of Sciences,3.0,3.5,3.1016100017988837,42.3077,77,87,5559
233,Lisa Paciulli,College of Sciences,2.7,3.4,2.902792515395547,31.2977,154,56,4222
234,Jennifer Landin,College of Sciences,3.9,3.1,2.979228575308977,73.4043,127,130,7363
235,Brenda Grubb,College of Sciences,2.0,3.4,2.867670011148272,-1.0,18,10,897
236,Betty Black,College of Sciences,2.0,4.0,2.6145761904761895,14.8148,45,83,6300
237,Marianne Niedslek-Feaver,College of Sciences,1.8,3.4,3.2763650793650796,9.5238,35,64,2520
238,Miles Engell,College of Sciences,4.6,3.2,2.9881212598425204,89.5349,117,64,6350
239,Lisa Parks,College of Sciences,3.8,3.5,3.078565365025466,65.7895,57,105,7068
240,Gregory Carter,College of Design,3.6,2.1,3.5694427710843377,77.7778,9,29,664
241,Cameron Cooper,College of Design,3.0,2.0,3.752666666666667,0.0,1,3,45
242,Michael Singer,College of Sciences,3.2,1.8,3.3424085106382995,-1.0,12,80,2350
243,Dana Raymond,College of Design,3.3,3.7,3.1694964028776975,66.6667,3,38,834
244,Kathleen Rieder,College of Design,2.0,3.4,3.449789372905698,0.0,12,65,2089
245,Chandra Cox,College of Design,2.4,3.5,3.441218229623137,36.3636,11,47,1141
246,Justin Johnson,College of Design,5.0,3.7,3.593931398416886,100.0,3,17,379
247,Tania Allen,College of Design,3.3,2.8,3.5238202247191013,50.0,12,28,1068
248,Marc Russo,College of Design,5.0,2.7,3.749890610756609,100.0,3,55,1097
249,Amanda Robertson,College of Design,5.0,3.0,3.375986842105263,-1.0,1,10,304
250,Victoria Ralston,,4.4,1.8,3.830566037735849,75.0,5,11,159
251,Deborah Young,College of Humanities and Social Sciences,1.0,2.0,3.3446153846153845,0.0,1,2,52
252,Ryan McGrady,College of Humanities and Social Sciences,4.8,2.0,3.3409121621621622,-1.0,3,14,296
253,Benton Jones,College of Design,5.0,3.0,3.6,-1.0,1,1,10
254,Russel Flinchum,College of Humanities and Social Sciences,3.8,2.3,3.377725,50.0,4,30,800
255,Robin Abrams,College of Design,4.4,1.6,3.689698360655738,85.7143,7,38,1525
256,Thomas Barrie,College of Design,4.3,2.8,3.3322530864197533,33.3333,4,24,648
257,Burak Erdim,College of Design,5.0,3.0,3.668181818181819,100.0,1,21,561
258,George Elvin,College of Design,3.5,1.5,3.8105000000000007,75.0,4,8,100
259,Patricia Morgado,College of Design,3.5,3.3,3.171848184818482,75.0,4,38,606
260,Zach Hoffman,College of Design,5.0,5.0,3.2053012048192766,100.0,1,6,83
261,Jake Heffington ,College of Design,5.0,5.0,3.097123287671233,100.0,1,4,73
262,Jessica Moore,College of Humanities and Social Sciences,3.9,3.6,2.694803921568628,-1.0,7,20,918
263,Sara Queen,College of Design,4.1,4.5,3.448950892857142,69.2308,15,27,896
264,Dana Gulling,College of Design,4.0,4.0,3.0113114754098356,0.0,1,18,488
265,Shawn Protz,College of Design,3.0,2.5,3.797214611872146,50.0,2,8,219
266,Andrew Johnston,College of Humanities and Social Sciences,3.5,3.4,3.376192660550459,69.4,9,27,654
267,Lu Liu,College of Design,4.6,2.3,3.538638799571275,81.8182,11,20,933
268,Marvin Malecha,College of Design,3.8,3.3,3.578178956834533,-1.0,3,16,2224
269,Daniel Kelly,College of Design,5.0,1.9,3.4175051546391755,100.0,9,14,485
270,Fernando Magallanes,College of Design,4.3,3.5,3.4168054298642536,-1.0,13,31,1105
271,Victoria Chi,College of Design,2.3,3.0,3.4355155642023356,25.0,4,39,1028
272,Meredith Davis,College of Design,3.5,3.0,2.5941350710900473,-1.0,2,10,844
273,Cymbre Raub,College of Design,2.5,2.0,3.3263666666666665,-1.0,2,12,600
274,Martha Scotford,College of Design,2.5,3.5,3.15417372881356,-1.0,4,16,472
275,Erik Schettig,College of Engineering,4.7,2.7,3.319187935034803,100.0,3,14,431
276,Niloufar Bayati,College of Design,5.0,2.4,3.1069421487603304,100.0,7,3,121
277,Nolan Fahrer,College of Education,4.0,2.2,3.486706766917292,100.0,5,46,1330
278,Justin Egresitz,College of Education,4.0,2.5,3.3090733590733583,100.0,2,9,259
279,Marissa Franzen,College of Education,5.0,3.0,3.2795357406042736,100.0,1,51,1357
280,Chris Boakye,College of Design,4.2,1.8,3.2221712538226295,80.0,5,7,327
281,Kevin Sutton,College of Design,4.9,2.7,3.424968474148803,100.0,11,65,1586
282,Steven Miller,College of Education,4.4,1.6,3.7132084534101817,84.6154,13,41,1041
283,Teena Coats,College of Design,3.3,2.8,3.203648208469055,75.0,4,12,614
